STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DAEV,DAEV_ATTRIBUTES,DAWM,DAWM_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,FRGT,FRGT_ATTRIBUTES,GAHT,GAHT_ATTRIBUTES,MDEV,MDEV_ATTRIBUTES,MDWM,MDWM_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,SN02,SN02_ATTRIBUTES,SX02,SX02_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT10,WT10_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WT22,WT22_ATTRIBUTES,WV03,WV03_ATTRIBUTES
USW00013958,5/18/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,112,2400,0,0,0,0,289,0,183,0,30,X,20,X,,,,,,,,,46,X,,,,,51,730,1352,X,,,,,,,,,211,0,317,0,106,X,,,,,,,,,,,,,706,X,350,X,,,,,270,WX,,,137,0,0,0,72,X,,,,,129,X,,,239,0,250,0,1,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,
USW00013958,5/19/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,0,2400,0,0,0,0,283,0,144,0,40,X,50,X,,,,,,,,,32,X,,,,,94,730,1752,X,,,,,,,,,156,0,311,0,1249,X,,,,,,,,,,,,,766,X,40,X,,,,,360,WX,,,109,0,0,0,54,X,,,,,87,X,,,222,0,239,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013958,5/20/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,0,2400,0,0,0,0,283,0,144,0,30,X,30,X,,,,,,,,,26,X,,,,,,,950,X,,,,,,,,,167,0,317,0,1639,X,,,,,,,,,,,,,771,X,140,X,,,,,135,WX,,,60,0,0,0,45,X,,,,,77,X,,,233,0,244,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013958,5/21/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,0,2400,0,0,0,0,294,0,161,0,40,X,50,X,,,,,,,,,30,X,,,,,119,730,1752,X,,,,,,,,,167,0,333,0,1522,X,,,,,,,,,,,,,687,X,130,X,,,,,180,WX,,,87,0,0,0,54,X,,,,,87,X,,,217,0,239,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013958,5/22/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,0,2400,0,0,0,0,294,0,183,0,60,X,80,X,,,,,,,,,38,X,,,,,,,1350,X,,,,,,,,,200,0,333,0,1346,X,,,,,,,,,,,,,174,X,140,X,,,,,135,WX,,,100,0,0,0,63,X,,,,,93,X,,,239,I0,233,I0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013958,5/23/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,0,2400,0,0,0,0,300,0,206,0,90,X,90,X,,,,,,,,,44,X,,,,,58,730,1053,X,,,,,,,,,206,0,311,0,2007,X,,,,,,,,,,,,,256,X,190,X,,,,,135,WX,,,153,0,0,0,72,X,,,,,118,X,,,233,0,239,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013958,5/24/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,64,2400,0,0,0,0,294,0,211,0,90,X,100,X,,,,,,,,,40,X,,,,,74,730,511,X,,,,,,,,,211,0,311,0,443,X,,,,,,,,,,,,,226,X,110,X,,,,,90,WX,,,172,0,0,0,94,X,,,,,195,X,,,228,0,239,0,1,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,
USW00013958,5/25/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,0,2400,0,0,0,0,300,0,211,0,60,X,70,X,,,,,,,,,34,X,,,,,38,730,1650,X,,,,,,,,,211,0,306,0,1113,X,,,,,,,,,,,,,306,X,130,X,,,,,180,WX,,,135,0,0,0,45,X,,,,,72,X,,,228,0,228,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013958,5/26/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,0,2400,0,0,0,0,317,0,194,0,50,X,70,X,,,,,,,,,34,X,,,,,53,730,1750,X,,,,,,,,,156,0,322,0,1814,X,,,,,,,,,,,,,546,X,160,X,,,,,180,WX,,,89,0,0,0,63,X,,,,,98,X,,,222,0,239,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013958,5/27/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,43,2400,0,0,0,0,317,0,200,0,60,X,70,X,,,,,,,,,37,X,,,,,69,730,1150,X,,,,,,,,,228,0,339,0,1249,X,,,,,,,,,,,,,492,X,200,X,,,,,360,WX,,,124,0,0,0,63,X,,,,,103,X,,,239,0,256,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,
