# normalized_key	display_name	genres
julie roberts	Julie Roberts	COUNTRY
julie rogers	Julie Rogers	OTHER
juliet roberts	Juliet Roberts	ELECTRONIC
juliet simms	Juliet Simms	OTHER
julieta venegas	Julieta Venegas	POP,ROCK,LATIN
julio iglesias	Julio Iglesias	LATIN
jumpin gene simmons	Jumpin' Gene Simmons	OTHER
junction	Junction	OTHER
jung tru	Jung Tru	OTHER
junior	Junior	POP
junior m a f i a	Junior M.A.F.I.A.	POP,HIP_HOP,PUNK
junior reid	Junior Reid	ROCK,ELECTRONIC
just us	Just Us!	OTHER
justin bieber	Justin Bieber	POP
justin hayward	Justin Hayward	POP,ROCK
justin moore	Justin Moore	COUNTRY
justin timberlake	Justin Timberlake	POP
juvenile	Juvenile	POP,HIP_HOP
juvenile wacko and skip	Juvenile, Wacko, & Skip	OTHER
jxl	JXL	ELECTRONIC
k camp	K CAMP	POP,HIP_HOP,RNB
k ci	K-Ci	RNB
k ci and jojo	K-Ci & JoJo	POP,RNB
k d lang	k.d. lang	POP,ROCK,COUNTRY,FOLK
k jon	K'Jon	RNB
k m c kru	K.M.C. Kru	OTHER
k michelle	K. Michelle	POP,RNB
k naan	K'NAAN	HIP_HOP
k p and envyi	K.P. & Envyi	OTHER
k solo	K-Solo	OTHER
k w s	K.W.S.	OTHER
k5	K5	OTHER
k7	K7	ELECTRONIC
kacey musgraves	Kacey Musgraves	POP,COUNTRY
kai	Kai	OTHER
kajagoogoo	Kajagoogoo	POP,ROCK,ELECTRONIC
kaleo	KALEO	ROCK
kali uchis	Kali Uchis	POP
kamaiyah	Kamaiyah	HIP_HOP
kandi	Kandi	POP,RNB
kandi girl	Kandi Girl	OTHER
kane brown	Kane Brown	COUNTRY
kane gang	The Kane Gang	OTHER
kane roberts	Kane Roberts	ROCK,METAL
kano	Kano	ELECTRONIC
kansas	Kansas	POP,ROCK
kanye west	Kanye West	HIP_HOP
kaoma	Kaoma	OTHER
kardinal offishall	Kardinal Offishall	HIP_HOP
karen fairchild	Karen Fairchild	OTHER
karen o	Karen O	POP,ROCK,ELECTRONIC
karen young	Karen Young	ELECTRONIC
karla bonoff	Karla Bonoff	POP,FOLK
karmin	Karmin	POP
karol g	KAROL G	LATIN
karyn white	Karyn White	RNB
kasenetz katz singing orchestral circus	Kasenetz-Katz Singing Orchestral Circus	OTHER
kashif	Kashif	RNB,ELECTRONIC
kaskade	Kaskade	POP,ELECTRONIC
kat deluna	Kat Deluna	POP
katalina	Katalina	OTHER
kate bush	Kate Bush	POP,ROCK,ELECTRONIC,FOLK,CLASSICAL
kate taylor	Kate Taylor	OTHER
kate voegele	Kate Voegele	POP
katharine mcphee	Katharine McPhee	POP
kathy dalton	Kathy Dalton	OTHER
kathy kirby	Kathy Kirby	POP,ROCK
kathy troccoli	Kathy Troccoli	OTHER
katie lopez	Katie Lopez	OTHER
katrina and the waves	Katrina & The Waves	POP
katy perry	Katy Perry	POP
katy tiz	Katy Tiz	OTHER
kayak	Kayak	POP,ROCK
kbc band	KBC Band	OTHER
kc and the sunshine band	KC & The Sunshine Band	POP,RNB,ELECTRONIC
keak da sneak	Keak Da Sneak	HIP_HOP
keala settle	Keala Settle	SOUNDTRACK
keane	Keane	POP,ROCK
kebo gotti	Kebo Gotti	HIP_HOP
kehlani	Kehlani	POP,RNB
keith	Keith	POP
keith anderson	Keith Anderson	COUNTRY
keith barbour	Keith Barbour	OTHER
keith carradine	Keith Carradine	OTHER
keith hampshire	Keith Hampshire	OTHER
keith martin	Keith Martin	OTHER
keith murray	Keith Murray	HIP_HOP,PUNK
keith sweat	Keith Sweat	POP,RNB
keith urban	Keith Urban	COUNTRY
keith washington	Keith Washington	RNB
keke wyatt	KeKe Wyatt	POP,RNB
kelis	Kelis	POP,RNB
kellie coffey	Kellie Coffey	COUNTRY
kellie pickler	Kellie Pickler	COUNTRY
kelly clarkson	Kelly Clarkson	POP
kelly osbourne	Kelly Osbourne	OTHER
kelly price	Kelly Price	POP,RNB
kelly rowland	Kelly Rowland	POP,HIP_HOP,RNB
kelsea ballerini	Kelsea Ballerini	POP,COUNTRY
kem	Kem	RNB
ken y	Ken-Y	HIP_HOP,LATIN
kendalls	The Kendalls	COUNTRY
kendrick lamar	Kendrick Lamar	HIP_HOP
kenny burrell	Kenny Burrell	RNB,JAZZ
kenny chesney	Kenny Chesney	COUNTRY
kenny g	Kenny G	JAZZ
kenny lattimore	Kenny Lattimore	RNB
kenny loggins	Kenny Loggins	POP,ROCK
kenny nolan	Kenny Nolan	POP
kenny o dell	Kenny O'Dell	OTHER
kenny rogers	Kenny Rogers	POP,COUNTRY
kenny rogers and the first edition	Kenny Rogers & The First Edition	OTHER
kenny wayne shepherd	Kenny Wayne Shepherd	ROCK,RNB
kent jones	Kent Jones	HIP_HOP
keri hilson	Keri Hilson	POP,HIP_HOP,RNB
kesha	Kesha	POP,HIP_HOP
kevin gates	Kevin Gates	HIP_HOP
kevin lamb	Kevin Lamb	OTHER
kevin lyttle	Kevin Lyttle	OTHER
kevin mccall	Kevin McCall	OTHER
kevin paige	Kevin Paige	OTHER
kevin rudolf	Kevin Rudolf	POP,HIP_HOP
kevon edmonds	Kevon Edmonds	RNB
keyshia cole	Keyshia Cole	POP,HIP_HOP,RNB
khalid	Khalid	POP
khia	Khia	POP,HIP_HOP
kid cudi	Kid Cudi	HIP_HOP
kid frost	Kid Frost	HIP_HOP
kid ink	Kid Ink	POP,HIP_HOP
kid n play	Kid 'N Play	HIP_HOP,RNB,ELECTRONIC
kid rock	Kid Rock	ROCK,METAL
kidd kidd	Kidd Kidd	HIP_HOP
kids see ghosts	KIDS SEE GHOSTS	HIP_HOP
kiesza	Kiesza	POP
kiiara	Kiiara	POP,ELECTRONIC
kiki dee	Kiki Dee	POP
kiki dee band	The Kiki Dee Band	OTHER
kill edward	kiLL edward	OTHER
kill the noise	Kill The Noise	HIP_HOP,ELECTRONIC
killer mike	Killer Mike	HIP_HOP
killers	The Killers	ROCK
kim carnes	Kim Carnes	POP
kim mitchell	Kim Mitchell	ROCK
kim weston	Kim Weston	RNB
kim wilde	Kim Wilde	POP,ROCK,ELECTRONIC
kimberley locke	Kimberley Locke	POP
kimberly scott	Kimberly Scott	OTHER
kimbra	Kimbra	POP,ROCK
king	King	OTHER
king chip	King Chip	OTHER
king crimson	King Crimson	ROCK,JAZZ
king curtis	King Curtis	RNB,JAZZ
king floyd	King Floyd	RNB
king harvest	King Harvest	POP
king jacob	King Jacob	OTHER
kingbees	The Kingbees	ROCK
kingdom come	Kingdom Come	ROCK,METAL
kings	The Kings	ROCK
kings of leon	Kings of Leon	ROCK
kings of the sun	Kings Of The Sun	OTHER
kingsmen	The Kingsmen	ROCK
kingston trio	The Kingston Trio	FOLK
kinks	The Kinks	POP,ROCK,ELECTRONIC,PUNK,FOLK
kinleys	The Kinleys	COUNTRY
kinsu	Kinsu	OTHER
kip moore	Kip Moore	COUNTRY
kirk franklin	Kirk Franklin	RNB
kirko bangz	Kirko Bangz	HIP_HOP,RNB
kiss	KISS	ROCK,METAL
kissing the pink	Kissing The Pink	POP,ROCK
kix	Kix	ROCK,METAL
klaatu	Klaatu	ROCK
klf	The KLF	ELECTRONIC
klymaxx	Klymaxx	RNB,ELECTRONIC
knack	The Knack	POP,ROCK
knickerbockers	The Knickerbockers	POP,ROCK
knoc turn al	Knoc-Turn'al	HIP_HOP,RNB
knocks	The Knocks	POP,ROCK,RNB,ELECTRONIC
kodak black	Kodak Black	HIP_HOP
kodie shane	Kodie Shane	HIP_HOP
koffee brown	Koffee Brown	RNB
kon kan	Kon Kan	POP,ROCK
kongos	KONGOS	ROCK,RNB
kool and the gang	Kool & The Gang	RNB,ELECTRONIC
kool g rap	Kool G Rap	HIP_HOP,PUNK
kool mo dee	Kool Mo Dee	OTHER
kool moe dee	Kool Moe Dee	HIP_HOP,RNB,ELECTRONIC,PUNK
korgis	The Korgis	POP
korn	Korn	ROCK,HIP_HOP,METAL
korona	Korona	OTHER
kraftwerk	Kraftwerk	POP,ROCK,ELECTRONIC
krayzie bone	Krayzie Bone	HIP_HOP
kreayshawn	Kreayshawn	OTHER
krewella	Krewella	POP,ELECTRONIC
kris allen	Kris Allen	POP,ROCK
kris kristofferson	Kris Kristofferson	ROCK,COUNTRY,FOLK
kris kross	Kris Kross	HIP_HOP,RNB
kris wu	Kris Wu	POP,HIP_HOP
kristen bell	Kristen Bell	SOUNDTRACK
kristin chenoweth	Kristin Chenoweth	SOUNDTRACK
kristine w	Kristine W	ELECTRONIC
kristinia debarge	Kristinia DeBarge	POP
krokus	Krokus	ROCK,RNB,METAL
krs one	KRS-One	HIP_HOP,PUNK
kt tunstall	KT Tunstall	POP,FOLK
kumbia kings	Kumbia Kings	LATIN
kungs	Kungs	ELECTRONIC
kurtis blow	Kurtis Blow	HIP_HOP,ELECTRONIC
kurupt	Kurupt	HIP_HOP,RNB,PUNK
kut klose	Kut Klose	POP,RNB
kygo	Kygo	POP,ELECTRONIC
kyjuan	Kyjuan	OTHER
kyla	Kyla	RNB
kyle	KYLE	POP,HIP_HOP
kylie minogue	Kylie Minogue	POP,ELECTRONIC
kym sims	Kym Sims	ELECTRONIC
kyper	Kyper	OTHER
l a d	L.a.d.	OTHER
l a guns	L.A. Guns	ROCK,METAL
l a style	L.A. Style	ELECTRONIC
l t d	L.T.D.	RNB,ELECTRONIC
l trimm	L'Trimm	HIP_HOP
l v	L.V.	OTHER
la bouche	La Bouche	POP,ELECTRONIC
la roux	La Roux	POP,ROCK,ELECTRONIC
la s	The La's	POP
laban	Laban	POP,ELECTRONIC
labelle	LaBelle	RNB,ELECTRONIC
labrinth	Labrinth	POP
lady antebellum	Lady Antebellum	POP,COUNTRY
lady gaga	Lady Gaga	POP
lady of rage	The Lady Of Rage	HIP_HOP,RNB
lady sovereign	Lady Sovereign	OTHER
laid back	Laid Back	POP
laissez faire	Laissez Faire	OTHER
lake	Lake	OTHER
lakeside	Lakeside	RNB,ELECTRONIC
lalo schifrin	Lalo Schifrin	POP,LATIN,SOUNDTRACK
lamont dozier	Lamont Dozier	RNB
lana cantrell	Lana Cantrell	OTHER
lana del rey	Lana Del Rey	POP
lanco	LANCO	COUNTRY
landon cube	Landon Cube	HIP_HOP,EMO
landon pigg	Landon Pigg	POP
lara fabian	Lara Fabian	POP,CLASSICAL
lari white	Lari White	COUNTRY
larks	The Larks	OTHER
larry carlton	Larry Carlton	RNB,JAZZ
larry elgart and his manhattan swing orchestra	Larry Elgart And His Manhattan Swing Orchestra	OTHER
larry gatlin	Larry Gatlin	COUNTRY
larry graham	Larry Graham	RNB,ELECTRONIC
larry groce	Larry Groce	SOUNDTRACK
larry john mcnally	Larry John McNally	POP
larry lee	Larry Lee	POP
larry santos	Larry Santos	OTHER
larsen feiten band	Larsen/Feiten Band	POP
las ketchup	Las Ketchup	OTHER
lasgo	Lasgo	POP,ELECTRONIC
last goodnight	The Last Goodnight	POP
latimore	Latimore	RNB
latocha scott	LaTocha Scott	OTHER
latoya jackson	Latoya Jackson	OTHER
laura branigan	Laura Branigan	POP,ROCK,ELECTRONIC
laura enea	Laura Enea	OTHER
laura lee	Laura Lee	RNB
laura nyro	Laura Nyro	POP,FOLK
lauren alaina	Lauren Alaina	COUNTRY
lauren bennett	Lauren Bennett	OTHER
lauren daigle	Lauren Daigle	OTHER
lauren jauregui	Lauren Jauregui	RNB
lauren wood	Lauren Wood	POP
lauv	Lauv	POP
lavern baker	LaVern Baker	POP,ROCK,RNB
laverne and shirley	Laverne & Shirley	OTHER
lawrence reynolds	Lawrence Reynolds	OTHER
lawrence welk	Lawrence Welk	POP
lazy racer	Lazy Racer	OTHER
le click	Le Click	ELECTRONIC
lea	Lea	OTHER
lea michele	Lea Michele	POP,SOUNDTRACK
lea roberts	Lea Roberts	OTHER
leah andreone	Leah Andreone	POP
leann rimes	LeAnn Rimes	POP,COUNTRY
leapy lee	Leapy Lee	OTHER
leblanc and carr	LeBlanc And Carr	OTHER
led zeppelin	Led Zeppelin	ROCK
lee ann womack	Lee Ann Womack	COUNTRY
lee brice	Lee Brice	COUNTRY
lee dewyze	Lee DeWyze	POP
lee dorsey	Lee Dorsey	ROCK,RNB
lee garrett	Lee Garrett	OTHER
lee greenwood	Lee Greenwood	COUNTRY
lee hazlewood	Lee Hazlewood	ROCK,COUNTRY,FOLK,CLASSICAL
lee michaels	Lee Michaels	OTHER
lee morgan	Lee Morgan	RNB,JAZZ
lee oskar	Lee Oskar	OTHER
lee ritenour	Lee Ritenour	POP,RNB,JAZZ
left banke	The Left Banke	POP,ROCK,FOLK,CLASSICAL
lefty frizzell	Lefty Frizzell	COUNTRY,FOLK
legacy of sound	Legacy Of Sound	OTHER
leif garrett	Leif Garrett	POP
leighton meester	Leighton Meester	POP
lemon pipers	The Lemon Pipers	POP,ROCK,FOLK
lemonheads	The Lemonheads	POP,ROCK,COUNTRY
len	Len	POP
len barry	Len Barry	RNB
lena horne	Lena Horne	POP,JAZZ
lena zavaroni	Lena Zavaroni	OTHER
lenny kravitz	Lenny Kravitz	POP,ROCK
lenny welch	Lenny Welch	OTHER
leo sayer	Leo Sayer	POP,ELECTRONIC,FOLK
leon and mary russell	Leon & Mary Russell	OTHER
leon bridges	Leon Bridges	RNB
leon haywood	Leon Haywood	RNB,ELECTRONIC
leon redbone	Leon Redbone	JAZZ,FOLK
leon russell	Leon Russell	POP,ROCK,RNB,COUNTRY,FOLK
leona lewis	Leona Lewis	POP,RNB
leonard cohen	Leonard Cohen	POP,ROCK,FOLK
leroux	LeRoux	OTHER
les crane	Les Crane	OTHER
les mccann and eddie harris	Les McCann & Eddie Harris	OTHER
les paul	Les Paul	POP
leschea	Leschea	OTHER
lesley gore	Lesley Gore	POP,ROCK,RNB,FOLK
leslie carter	Leslie Carter	POP
leslie pearl	Leslie Pearl	OTHER
letoya	LeToya	POP,RNB
lettermen	The Lettermen	POP
letters to cleo	Letters To Cleo	POP,ROCK
level 42	Level 42	POP,ROCK,RNB,ELECTRONIC
levert	Levert	RNB
lfo	LFO	POP
liam payne	Liam Payne	POP,ELECTRONIC
lidell townsell	Lidell Townsell	ELECTRONIC
lifehouse	Lifehouse	POP,ROCK,METAL
lighter shade of brown	Lighter Shade Of Brown	HIP_HOP
lighthouse	lighthouse	ROCK
lightning seeds	The Lightning Seeds	POP,ROCK,ELECTRONIC
lil baby	Lil Baby	HIP_HOP
lil dicky	Lil Dicky	HIP_HOP
lil durk	Lil Durk	HIP_HOP
lil flip	Lil' Flip	HIP_HOP
lil jon	Lil Jon	POP,HIP_HOP
lil keke	Lil Keke	HIP_HOP
lil kim	Lil' Kim	POP,HIP_HOP,RNB
lil louis	Lil' Louis	ELECTRONIC
lil mama	Lil Mama	POP,HIP_HOP
lil mo	Lil' Mo	POP,RNB
lil mosey	Lil Mosey	HIP_HOP
lil nas x	Lil Nas X	HIP_HOP
lil peep	Lil Peep	HIP_HOP,EMO
lil phat	Lil Phat	HIP_HOP
lil pump	Lil Pump	HIP_HOP,EMO
lil rob	Lil Rob	HIP_HOP,RNB
lil romeo	Lil' Romeo	OTHER
lil scrappy	Lil Scrappy	HIP_HOP
lil skies	Lil Skies	HIP_HOP
lil suzy	Lil Suzy	OTHER
lil troy	Lil' Troy	HIP_HOP
lil uzi vert	Lil Uzi Vert	HIP_HOP
lil wayne	Lil Wayne	POP,HIP_HOP
lil xan	Lil Xan	HIP_HOP,EMO
lil yachty	Lil Yachty	HIP_HOP
lil zane	Lil' Zane	OTHER
lila mccann	Lila McCann	COUNTRY
lily allen	Lily Allen	POP
limahl	Limahl	POP,ROCK
limeliters	The Limeliters	FOLK
limp bizkit	Limp Bizkit	ROCK,HIP_HOP,METAL
lin manuel miranda	Lin-Manuel Miranda	SOUNDTRACK
lina santiago	Lina Santiago	OTHER
linda clifford	Linda Clifford	ELECTRONIC
linda jones	Linda Jones	RNB
linda mccartney	Linda McCartney	POP
linda ronstadt	Linda Ronstadt	POP,ROCK,COUNTRY,FOLK
linda scott	Linda Scott	POP
lindisfarne	Lindisfarne	POP,ROCK,FOLK
lindsay ell	Lindsay Ell	COUNTRY
lindsay lohan	Lindsay Lohan	POP
lindsey buckingham	Lindsey Buckingham	POP,ROCK
lindsey pavao	Lindsey Pavao	OTHER
lindsey stirling	Lindsey Stirling	POP
linear	Linear	OTHER
link	Link	OTHER
link wray	Link Wray	ROCK,PUNK
linkin park	Linkin Park	ROCK,METAL
lionel richie	Lionel Richie	POP,RNB,ELECTRONIC
lipps inc	Lipps Inc.	ELECTRONIC
liquid gold	Liquid Gold	OTHER
liquid smoke	Liquid Smoke	OTHER
lisa fischer	Lisa Fischer	RNB
lisa keith	Lisa Keith	OTHER
lisa lisa and cult jam	Lisa Lisa & Cult Jam	RNB,ELECTRONIC
lisa loeb	Lisa Loeb	POP,FOLK
lisa loeb and nine stories	Lisa Loeb & Nine Stories	POP
lisa stansfield	Lisa Stansfield	POP,RNB,ELECTRONIC
lisette melendez	Lisette Melendez	OTHER
lit	Lit	POP,ROCK,PUNK
lita ford	Lita Ford	ROCK,METAL
little anthony and the imperials	Little Anthony & The Imperials	POP,ROCK,RNB
little big town	Little Big Town	COUNTRY
little caesar	Little Caesar	ROCK,METAL
little jimmy dickens	Little Jimmy Dickens	COUNTRY
little johnny taylor	Little Johnny Taylor	RNB
little junior parker	Little Junior Parker	OTHER
little milton	Little Milton	RNB
little mix	Little Mix	POP
little richard	Little Richard	POP,ROCK,RNB
little river band	Little River Band	POP,ROCK,COUNTRY,FOLK
little sister	Little Sister	OTHER
little steven	Little Steven	ROCK
little texas	Little Texas	COUNTRY
live	Live	POP,ROCK,METAL
liverpool five	Liverpool Five	OTHER
livin joy	Livin' Joy	POP,ELECTRONIC
living colour	Living Colour	ROCK,HIP_HOP,RNB,METAL
living in a box	Living In A Box	POP,ROCK,ELECTRONIC
livingston taylor	Livingston Taylor	OTHER
liz damon s orient express	Liz Damon's Orient Express	OTHER
liz phair	Liz Phair	POP,ROCK,FOLK
ll cool j	LL Cool J	POP,HIP_HOP,RNB,PUNK
lloyd	Lloyd	POP,HIP_HOP,RNB
lloyd banks	Lloyd Banks	HIP_HOP,PUNK
lloyd price	Lloyd Price	POP,ROCK,RNB
lmfao	LMFAO	POP,HIP_HOP
lo key	Lo-Key?	OTHER
lobo	Lobo	POP,FOLK
locash	LOCASH	HIP_HOP,COUNTRY
loggins and messina	Loggins & Messina	POP,ROCK,COUNTRY,FOLK
logic	Logic	HIP_HOP
loleatta holloway	Loleatta Holloway	RNB,ELECTRONIC
lolo	LOLO	OTHER
london symphony orchestra	London Symphony Orchestra	CLASSICAL
londonbeat	Londonbeat	OTHER
lone justice	Lone Justice	ROCK,COUNTRY,PUNK
lonely island	The Lonely Island	OTHER
lonestar	Lonestar	COUNTRY
long john baldry	Long John Baldry	RNB
lonnie gordon	Lonnie Gordon	ELECTRONIC
lonnie mack	Lonnie Mack	RNB
looking glass	Looking Glass	POP
loon	Loon	POP
loose ends	Loose Ends	RNB,ELECTRONIC
lord huron	Lord Huron	POP,FOLK
lord tariq	Lord Tariq	OTHER
lorde	Lorde	POP
lords of the underground	Lords Of The Underground	HIP_HOP,PUNK
loreena mckennitt	Loreena McKennitt	FOLK
loren allred	Loren Allred	SOUNDTRACK
loretta lynn	Loretta Lynn	COUNTRY,FOLK
lorne greene	Lorne Greene	COUNTRY
lorraine ellison	Lorraine Ellison	OTHER
lorrie morgan	Lorrie Morgan	COUNTRY
los bravos	Los Bravos	POP,FOLK
los del mar	Los Del Mar	OTHER
los del rio	Los Del Rio	OTHER
los indios tabajaras	Los Indios Tabajaras	POP
los lobos	Los Lobos	ROCK
los lonely boys	Los Lonely Boys	OTHER
los umbrellos	Los Umbrellos	OTHER
lost boyz	Lost Boyz	POP,HIP_HOP,PUNK
lost generation	Lost Generation	OTHER
lost trailers	The Lost Trailers	COUNTRY
lostprophets	lostprophets	OTHER
lou bega	Lou Bega	LATIN
lou christie	Lou Christie	POP,ROCK,FOLK
lou donaldson	Lou Donaldson	RNB,JAZZ
lou gramm	Lou Gramm	POP,ROCK
lou johnson	Lou Johnson	RNB
lou rawls	Lou Rawls	POP,RNB,ELECTRONIC,JAZZ
lou reed	Lou Reed	ROCK,ELECTRONIC,PUNK,FOLK
loudon wainwright iii	Loudon Wainwright III	ROCK,COUNTRY,FOLK
louis armstrong	Louis Armstrong	POP,JAZZ
louis prima	Louis Prima	POP,RNB,JAZZ
louis tomlinson	Louis Tomlinson	POP
louis williams	Louis Williams	RNB
louise goffin	Louise Goffin	OTHER
louise tucker	Louise Tucker	OTHER
love	Love	POP,ROCK,COUNTRY,ELECTRONIC,FOLK
love and money	Love & Money	ROCK
love and rockets	Love and Rockets	POP,ROCK,ELECTRONIC,PUNK
love and theft	Love and Theft	COUNTRY
love generation	The Love Generation	POP
love unlimited	Love Unlimited	RNB,ELECTRONIC
love unlimited orchestra	The Love Unlimited Orchestra	RNB,ELECTRONIC
lovelites	Lovelites	RNB
lovelytheband	lovelytheband	POP,ROCK
loverboy	Loverboy	POP,ROCK,METAL
lovin spoonful	The Lovin' Spoonful	POP,ROCK,FOLK
lox	The Lox	POP,HIP_HOP,PUNK
lsg	LSG	RNB
lucas	Lucas	OTHER
lucenzo	Lucenzo	LATIN
lucy hale	Lucy Hale	POP
lucy pearl	Lucy Pearl	POP,RNB
ludacris	Ludacris	POP,HIP_HOP
luis fonsi	Luis Fonsi	POP,LATIN
lukas graham	Lukas Graham	POP
luke	Luke	OTHER
luke bryan	Luke Bryan	COUNTRY
luke combs	Luke Combs	COUNTRY
lulu	Lulu	POP,ROCK
lumidee	Lumidee	POP
lumineers	The Lumineers	POP,ROCK,FOLK
lunchmoney lewis	LunchMoney Lewis	HIP_HOP
luniz	Luniz	HIP_HOP,RNB
lupe fiasco	Lupe Fiasco	HIP_HOP
luscious jackson	Luscious Jackson	POP
lustra	Lustra	PUNK
luther ingram	Luther Ingram	RNB
luther vandross	Luther Vandross	RNB
lutricia mcneal	Lutricia McNeal	OTHER
lyfe jennings	Lyfe Jennings	POP,HIP_HOP,RNB
lyn collins	Lyn Collins	RNB
lynn anderson	Lynn Anderson	COUNTRY
lynyrd skynyrd	Lynyrd Skynyrd	POP,ROCK,RNB,COUNTRY
m	MØ	POP,ELECTRONIC
m a r r s	M/A/R/R/S	ELECTRONIC
m i a	M.I.A.	POP,ELECTRONIC
m people	M People	POP,ROCK,ELECTRONIC
m t f	M T F	OTHER
m2m	M2M	POP
m83	M83	POP,ROCK
mable john	Mable John	RNB
mac and katie kissoon	Mac & Katie Kissoon	POP
mac davis	Mac Davis	POP,COUNTRY
mac mall	Mac Mall	HIP_HOP,RNB
mac mcanally	Mac McAnally	OTHER
mac miller	Mac Miller	HIP_HOP
machine	Machine	METAL
machine gun kelly	Machine Gun Kelly	HIP_HOP
mack 10	Mack 10	HIP_HOP,RNB,PUNK
mack maine	Mack Maine	OTHER
macklemore	Macklemore	HIP_HOP
macy gray	Macy Gray	RNB
mad cobra	Mad Cobra	ELECTRONIC
mad lads	The Mad Lads	RNB
mad lion	Mad Lion	OTHER
mad stuntman	The Mad Stuntman	OTHER
madcon	Madcon	POP,HIP_HOP
maddie and tae	Maddie & Tae	COUNTRY
madeintyo	MadeinTYO	HIP_HOP
madeline bell	Madeline Bell	OTHER
madi davis	Madi Davis	OTHER
madison avenue	Madison Avenue	ELECTRONIC
madleen kane	Madleen Kane	ELECTRONIC
madness	Madness	ELECTRONIC,PUNK
madonna	Madonna	POP
madsonik	Madsonik	OTHER
magazine 60	Magazine 60	ELECTRONIC
maggie bell	Maggie Bell	OTHER
magic	MAGIC!	POP
magic lanterns	Magic Lanterns	OTHER
magnificent men	The Magnificent Men	OTHER
mai tai	Mai Tai	OTHER
main ingredient	The Main Ingredient	RNB,ELECTRONIC
maino	Maino	HIP_HOP
majid jordan	Majid Jordan	POP,HIP_HOP,RNB
major harris	Major Harris	RNB
major lance	Major Lance	POP,RNB
major lazer	Major Lazer	POP,ELECTRONIC
make it hot	Make It Hot	OTHER
malo	Malo	RNB,LATIN
maluma	Maluma	LATIN
mamas and the papas	The Mamas & The Papas	POP,ROCK,FOLK
mana	Maná	ROCK,LATIN
mandrill	Mandrill	RNB,LATIN
mandy moore	Mandy Moore	POP,SOUNDTRACK
manfred mann	Manfred Mann	POP,ROCK,RNB,FOLK
manfred mann s earth band	Manfred Mann's Earth Band	ROCK,RNB
manhattan transfer	The Manhattan Transfer	POP,JAZZ
manhattans	The Manhattans	RNB,ELECTRONIC
mann	Mann	OTHER
mannie fresh	Mannie Fresh	HIP_HOP
mantovani	Mantovani	POP,CLASSICAL
mantronix	Mantronix	HIP_HOP,ELECTRONIC
manu dibango	Manu Dibango	POP
mar keys	The Mar-Keys	RNB
marc almond	Marc Almond	POP,ROCK,ELECTRONIC
marc anthony	Marc Anthony	LATIN
marc cohn	Marc Cohn	POP,FOLK
marc e bassy	Marc E. Bassy	POP,HIP_HOP
marc nelson	Marc Nelson	OTHER
marcia griffiths	Marcia Griffiths	ROCK
marco antonio solis	Marco Antonio Solís	LATIN
marcy playground	Marcy Playground	POP,ROCK
maren morris	Maren Morris	COUNTRY
margaret whiting	Margaret Whiting	POP,JAZZ
margie joseph	Margie Joseph	RNB
maria mena	Maria Mena	POP
maria muldaur	Maria Muldaur	OTHER
maria nayler	Maria Nayler	ELECTRONIC
maria vidal	Maria Vidal	OTHER
mariah carey	Mariah Carey	POP,RNB
marian hill	Marian Hill	POP
marianne faithfull	Marianne Faithfull	POP,ROCK,FOLK
marie osmond	Marie Osmond	POP
marillion	Marillion	POP,ROCK
marilyn martin	Marilyn Martin	OTHER
marilyn mccoo	Marilyn McCoo	OTHER
marilyn sellars	Marilyn Sellars	OTHER
mario	Mario	POP,HIP_HOP,RNB
mario vazquez	Mario Vazquez	RNB
mario winans	Mario Winans	RNB
mark chesnutt	Mark Chesnutt	COUNTRY
mark curry	Mark Curry	OTHER
mark lindsay	Mark Lindsay	POP
mark mcguinn	Mark McGuinn	OTHER
mark morrison	Mark Morrison	RNB
mark ronson	Mark Ronson	POP,ELECTRONIC
mark wills	Mark Wills	COUNTRY
marketa irglova	Markéta Irglová	OTHER
marketts	The Marketts	ROCK
marky mark and the funky bunch	Marky Mark And The Funky Bunch	OTHER
marlena shaw	Marlena Shaw	RNB
marmalade	Marmalade	POP,ROCK,FOLK
maroon 5	Maroon 5	POP
marques houston	Marques Houston	POP,HIP_HOP,RNB
mars volta	The Mars Volta	ROCK,METAL
marsha	Marsha	OTHER
marsha ambrosius	Marsha Ambrosius	POP,RNB
marshall crenshaw	Marshall Crenshaw	POP,ROCK,COUNTRY,FOLK
marshall hain	Marshall Hain	POP
marshall tucker band	The Marshall Tucker Band	POP,ROCK,RNB,COUNTRY,FOLK
marshmello	Marshmello	ELECTRONIC
martha davis	Martha Davis	OTHER
martha reeves	Martha Reeves	OTHER
martha reeves and the vandellas	Martha Reeves & The Vandellas	POP,ROCK,RNB,ELECTRONIC
martha wainwright	Martha Wainwright	POP,FOLK
martha wash	Martha Wash	ELECTRONIC
martika	Martika	POP,ROCK
martin briley	Martin Briley	OTHER
martin garrix	Martin Garrix	POP,ELECTRONIC
martina mcbride	Martina McBride	COUNTRY
marty balin	Marty Balin	POP
marty robbins	Marty Robbins	COUNTRY
marva whitney	Marva Whitney	RNB
marvelettes	The Marvelettes	POP,RNB
marvelows	The Marvelows	RNB
marvin gaye	Marvin Gaye	RNB
marvin gaye and mary wells	Marvin Gaye and Mary Wells	OTHER
marvin hamlisch	Marvin Hamlisch	SOUNDTRACK
marvin sapp	Marvin Sapp	OTHER
mary chapin carpenter	Mary Chapin Carpenter	POP,COUNTRY,FOLK
