# normalized_key	display_name	genres
barenaked ladies	Barenaked Ladies	POP,ROCK
barrington levy	Barrington Levy	ROCK
barron knights	The Barron Knights	ROCK
barry devorzon	Barry DeVorzon	OTHER
barry gibb	Barry Gibb	OTHER
barry manilow	Barry Manilow	POP,RNB,ELECTRONIC
barry mann	Barry Mann	RNB
barry mcguire	Barry McGuire	POP,FOLK
barry ryan	Barry Ryan	POP
barry white	Barry White	POP,RNB,ELECTRONIC
barry young	Barry Young	OTHER
bas	Bas	HIP_HOP
basia	Basia	JAZZ
baskerville hounds	The Baskerville Hounds	OTHER
bastille	Bastille	POP,ROCK,ELECTRONIC
batdorf	Batdorf	OTHER
bay city rollers	Bay City Rollers	POP
bazzi	Bazzi	POP
bbmak	BBMak	POP
bea miller	Bea Miller	POP
beach boys	The Beach Boys	POP,ROCK,FOLK,CLASSICAL
beanie sigel	Beanie Sigel	POP,HIP_HOP,PUNK
beastie boys	Beastie Boys	ROCK,HIP_HOP
beatles	The Beatles	ROCK
beatnuts	The Beatnuts	HIP_HOP,PUNK
beats international	Beats International	ELECTRONIC
beau brummels	The Beau Brummels	POP,ROCK,COUNTRY,FOLK
beau coup	Beau Coup	OTHER
bebe rexha	Bebe Rexha	POP
bebe winans	Bebe Winans	OTHER
beck	Beck	POP,ROCK,FOLK
becky g	Becky G	POP,HIP_HOP,LATIN
bee gees	Bee Gees	POP,ELECTRONIC
beenie man	Beenie Man	ELECTRONIC
before dark	Before Dark	OTHER
belinda carlisle	Belinda Carlisle	POP,ROCK,ELECTRONIC
bell	Bell	OTHER
bell biv devoe	Bell Biv DeVoe	POP,HIP_HOP,RNB
bella thorne	Bella Thorne	POP
bellamy brothers	The Bellamy Brothers	COUNTRY
belle epoque	Belle Epoque	EMO
belle stars	The Belle Stars	OTHER
bells	The Bells	ROCK
belly	Belly	HIP_HOP
belmonts	The Belmonts	RNB
belouis some	Belouis Some	POP,ROCK,ELECTRONIC
ben colder	Ben Colder	OTHER
ben e king	Ben E. King	POP,ROCK,RNB
ben folds	Ben Folds	POP,ROCK
ben rector	Ben Rector	POP,ROCK
benjamin orr	Benjamin Orr	OTHER
benny benassi	Benny Benassi	ELECTRONIC
benny blanco	benny blanco	POP,ELECTRONIC
benny mardones	Benny Mardones	POP
benzino	Benzino	OTHER
berlin	Berlin	POP,ROCK,ELECTRONIC
bermudas	The Bermudas	OTHER
bernadette carroll	Bernadette Carroll	OTHER
bernadette peters	Bernadette Peters	SOUNDTRACK
bert kaempfert and his orchestra	Bert Kaempfert & His Orchestra	OTHER
bertie higgins	Bertie Higgins	POP
beth hart	Beth Hart	POP,RNB
bette midler	Bette Midler	POP
better than ezra	Better Than Ezra	POP,ROCK
betty boo	Betty Boo	OTHER
betty everett	Betty Everett	POP,RNB
betty harris	Betty Harris	RNB
betty wright	Betty Wright	RNB
bettye swann	Bettye Swann	RNB
beverly bremers	Beverly Bremers	OTHER
beyonce	Beyoncé	POP,RNB
bhad bhabie	Bhad Bhabie	POP,HIP_HOP
biddu orchestra	Biddu Orchestra	OTHER
big and rich	Big & Rich	COUNTRY
big boi	Big Boi	HIP_HOP
big brother and the holding company	Big Brother & The Holding Company	ROCK,RNB
big country	Big Country	POP,ROCK,ELECTRONIC
big daddy kane	Big Daddy Kane	HIP_HOP,ELECTRONIC,PUNK
big k r i t	Big K.R.I.T.	HIP_HOP
big kap	Big Kap	OTHER
big mato	Big Mato	OTHER
big maybelle	Big Maybelle	RNB
big mountain	Big Mountain	OTHER
big noise	Big Noise	OTHER
big pig	Big Pig	ROCK
big pokey	Big Pokey	HIP_HOP
big poppa	Big Poppa	HIP_HOP
big pun	Big Pun	POP,HIP_HOP,PUNK
big sean	Big Sean	POP,HIP_HOP
big t	Big T	HIP_HOP
big tigger	Big Tigger	OTHER
big time rush	Big Time Rush	POP
big tymers	Big Tymers	HIP_HOP
bilal	Bilal	RNB
bill anderson	Bill Anderson	COUNTRY
bill black s combo	Bill Black's Combo	OTHER
bill brandon	BILL BRANDON	RNB
bill champlin	Bill Champlin	POP
bill conti	Bill Conti	SOUNDTRACK
bill cosby	Bill Cosby	OTHER
bill deal and the rhondels	Bill Deal & The Rhondels	OTHER
bill doggett	Bill Doggett	RNB,JAZZ
bill engvall	Bill Engvall	OTHER
bill haley and his comets	Bill Haley & His Comets	POP,ROCK,RNB
bill labounty	Bill LaBounty	POP
bill medley	Bill Medley	POP
bill quateman	Bill Quateman	POP
bill withers	Bill Withers	RNB
bill wyman	Bill Wyman	OTHER
billie eilish	Billie Eilish	POP
billie jo spears	Billie Jo Spears	COUNTRY
billie myers	Billie Myers	OTHER
billie ray martin	Billie Ray Martin	ELECTRONIC
