STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DAEV,DAEV_ATTRIBUTES,DASF,DASF_ATTRIBUTES,DAWM,DAWM_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,MDEV,MDEV_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,MDWM,MDWM_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WT22,WT22_ATTRIBUTES
USW00094728,10/18/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",5,",,0,2400",0,",,0,",0,",,0,",139,",,0",67,",,0",,,,,,,,,,,,,21,",,X",,,,,,,,,1011,",,X",,,,,,,1010,",,W",,,,,,,,,106,",,W",,,,,,,280,",,X",290,",,X",,,,,,,,,,,58,",,X",76,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00094728,10/19/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",178,",,0,2400",0,",,0,",0,",,0,",106,",,0",89,",,0",,,,,,,,,,,,,47,",,X",,,,,,,,,1905,",,X",,,,,,,1905,",,W",,,,,,,,,100,",,W",,,,,,,50,",,X",50,",,X",,,,,,,,,,,72,",,X",107,",,X",,,,,1,",,0",,,,,,,,,,,,,,,,,,,1,",,X",,,,,1,",,0",,,,,,,,,,
USW00094728,10/20/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",128,",,0",89,",,0",,,,,,,,,,,,,46,",,X",,,,,,,,,1147,",,X",,,,,,,1105,",,W",,,,,,,,,111,",,W",,,,,,,60,",,X",60,",,X",,,,,,,,,,,89,",,X",116,",,X",,,,,1,",,0",,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,,,,,,,,,
USW00094728,10/21/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",122,",,0",83,",,0",,,,,,,,,,,,,41,",,X",,,,,,,,,1010,",,X",,,,,,,1014,",,W",,,,,,,,,106,",,W",,,,,,,60,",,X",80,",,X",,,,,,,,,,,76,",,X",98,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,10/22/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",144,",,0",89,",,0",,,,,,,,,,,,,42,",,X",,,,,,,,,1811,",,X",,,,,,,1811,",,W",,,,,,,,,,,,,,,,,50,",,X",40,",,X",,,,,,,,,,,76,",,X",107,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,10/23/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",117,",,0",67,",,0",,,,,,,,,,,,,37,",,X",,,,,,,,,2136,",,X",,,,,,,2341,",,W",,,,,,,,,,,,,,,,,50,",,X",60,",,X",,,,,,,,,,,67,",,X",89,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,10/24/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",117,",,0",78,",,0",,,,,,,,,,,,,22,",,X",,,,,,,,,1206,",,X",,,,,,,1205,",,W",,,,,,,,,100,",,W",,,,,,,60,",,X",60,",,X",,,,,,,,,,,58,",,X",72,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,10/25/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",128,",,0",78,",,0",,,,,,,,,,,,,15,",,X",,,,,,,,,301,",,X",,,,,,,234,",,W",,,,,,,,,106,",,W",,,,,,,60,",,X",70,",,X",,,,,,,,,,,40,",,X",58,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,10/26/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",156,",,0",106,",,0",,,,,,,,,,,,,22,",,X",,,,,,,,,1313,",,X",,,,,,,1312,",,W",,,,,,,,,133,",,W",,,,,,,310,",,X",310,",,X",,,,,,,,,,,58,",,X",76,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,10/27/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",161,",,0",89,",,0",,,,,,,,,,,,,23,",,X",,,,,,,,,1427,",,X",,,,,,,2213,",,W",,,,,,,,,128,",,W",,,,,,,40,",,X",70,",,X",,,,,,,,,,,54,",,X",72,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,10/28/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",133,",,0",78,",,0",,,,,,,,,,,,,28,",,X",,,,,,,,,927,",,X",,,,,,,926,",,W",,,,,,,,,106,",,W",,,,,,,70,",,X",70,",,X",,,,,,,,,,,76,",,X",98,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,10/29/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",144,",,0",83,",,0",,,,,,,,,,,,,23,",,X",,,,,,,,,939,",,X",,,,,,,939,",,W",,,,,,,,,117,",,W",,,,,,,240,",,X",240,",,X",,,,,,,,,,,54,",,X",67,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,10/30/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",25,",,0,2400",0,",,0,",0,",,0,",167,",,0",128,",,0",,,,,,,,,,,,,23,",,X",,,,,,,,,1239,",,X",,,,,,,1239,",,W",,,,,,,,,150,",,W",,,,,,,200,",,X",190,",,X",,,,,,,,,,,45,",,X",67,",,X",,,,,1,",,0",,,,,,,,,,,,,1,",,0",,,,,1,",,X",,,,,1,",,0",,,,,,,,,,
USW00094728,10/31/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",217,",,0",144,",,0",,,,,,,,,,,,,36,",,X",,,,,,,,,1339,",,X",,,,,,,1132,",,W",,,,,,,,,183,",,W",,,,,,,280,",,X",270,",,X",,,,,,,,,,,89,",,X",125,",,X",,,,,1,",,0",,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,,,,,,,,,
USW00094728,11/1/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",156,",,0",94,",,0",,,,,,,,,,,,,34,",,X",,,,,,,,,924,",,X",,,,,,,858,",,W",,,,,,,,,128,",,W",,,,,,,300,",,X",280,",,X",,,,,,,,,,,80,",,X",112,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,11/2/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",156,",,0",78,",,0",,,,,,,,,,,,,25,",,X",,,,,,,,,1630,",,X",,,,,,,1354,",,W",,,,,,,,,117,",,W",,,,,,,160,",,X",170,",,X",,,,,,,,,,,54,",,X",89,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,11/3/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,"T,,0,2400",0,",,0,",0,",,0,",150,",,0",67,",,0",,,,,,,,,,,,,41,",,X",,,,,,,,,536,",,X",,,,,,,532,",,W",,,,,,,,,111,",,W",,,,,,,300,",,X",290,",,X",,,,,,,,,,,103,",,X",165,",,X",,,,,1,",,0",,,,,,,,,,,,,,,,,,,1,",,X",,,,,1,",,0",,,,,,,,,,
USW00094728,11/4/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",257,",,0,2400",0,",,0,",0,",,0,",106,",,0",33,",,0",,,,,,,,,,,,,18,",,X",,,,,,,,,2338,",,X",,,,,,,2321,",,W",,,,,,,,,72,",,W",,,,,,,250,",,X",260,",,X",,,,,,,,,,,58,",,X",80,",,X",,,,,1,",,0",,,,,,,,,,,,,,,,,,,1,",,X",,,,,1,",,0",,,,,,,,,,
USW00094728,11/5/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",3,",,0,2400",0,",,0,",0,",,0,",122,",,0",72,",,0",,,,,,,,,,,,,55,",,X",,,,,,,,,443,",,X",,,,,,,1224,",,W",,,,,,,,,100,",,W",,,,,,,280,",,X",290,",,X",,,,,,,,,,,116,",,X",174,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00094728,11/6/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",144,",,0",56,",,0",,,,,,,,,,,,,38,",,X",,,,,,,,,1248,",,X",,,,,,,1248,",,W",,,,,,,,,100,",,W",,,,,,,240,",,X",230,",,X",,,,,,,,,,,80,",,X",112,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,11/7/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",200,",,0",94,",,0",,,,,,,,,,,,,34,",,X",,,,,,,,,1410,",,X",,,,,,,1409,",,W",,,,,,,,,150,",,W",,,,,,,220,",,X",200,",,X",,,,,,,,,,,72,",,X",112,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,11/8/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",144,",,0",39,",,0",,,,,,,,,,,,,42,",,X",,,,,,,,,452,",,X",,,,,,,332,",,W",,,,,,,,,94,",,W",,,,,,,300,",,X",290,",,X",,,,,,,,,,,80,",,X",139,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,11/9/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",56,",,0",0,",,0",,,,,,,,,,,,,33,",,X",,,,,,,,,1227,",,X",,,,,,,1412,",,W",,,,,,,,,28,",,W",,,,,,,340,",,X",290,",,X",,,,,,,,,,,67,",,X",94,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,11/10/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",67,",,0",-17,",,0",,,,,,,,,,,,,24,",,X",,,,,,,,,2252,",,X",,,,,,,2341,",,W",,,,,,,,,28,",,W",,,,,,,220,",,X",250,",,X",,,,,,,,,,,63,",,X",98,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,11/11/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",139,",,0",56,",,0",,,,,,,,,,,,,31,",,X",,,,,,,,,953,",,X",,,,,,,952,",,W",,,,,,,,,,,,,,,,,240,",,X",230,",,X",,,,,,,,,,,72,",,X",98,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
