STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,ACMC,ACMC_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSC,ACSC_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,FRGB,FRGB_ATTRIBUTES,FRGT,FRGT_ATTRIBUTES,FRTH,FRTH_ATTRIBUTES,GAHT,GAHT_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFI,WDFI_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFI,WSFI_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WT22,WT22_ATTRIBUTES,WV03,WV03_ATTRIBUTES
USW00003813,6/15/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",0,",,0,2400",0,",,0",0,",,0",294,",,0",122,",,0",,,,,,,,,,,,,,,,,14,",,X",1604,",,X",,,,,,,,,1604,",,X",,,,,,,,,,,,,857,",,X",,,130,",,X",130,",,X",,,,,,,0,",,0",,,49,",,X",63,",,X",,,,,,,1,",,0",,,,,,,,,,,,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,
USW00003813,6/16/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",0,",,0,2400",0,",,0",0,",,0",294,",,0",156,",,0",,,,,,,,,,,,,,,,,30,",,X",1618,",,X",,,,,,,,,1535,",,X",,,,,,,,,,,,,811,",,X",,,70,",,X",80,",,X",,,,,,,0,",,0",,,72,",,X",80,",,X",,,,,,,1,",,0",,,,,,,,,,,,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,
USW00003813,6/17/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",0,",,0,2400",0,",,0",0,",,0",294,",,0",150,",,0",,,,,,,,,,,,,,,,,37,",,X",1241,",,X",,,,,,,,,1240,",,X",,,,,,,,,,,,,758,",,X",,,70,",,X",70,",,X",,,,,,,0,",,0",,,80,",,X",98,",,X",,,,,,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00003813,6/18/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",58,",,0,2400",0,",,0",0,",,0",294,",,0",139,",,0",,,,,,,,,,,,,,,,,38,",,X",1823,",,X",,,,,,,,,1823,",,X",,,,,,,,,,,,,782,",,X",,,40,",,X",40,",,X",,,,,,,0,",,0",,,112,",,X",130,",,X",,,,,,,1,",,0",,,1,",,0",,,,,,,,,1,",,0",,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00003813,6/19/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",10,",,0,2400",0,",,0",0,",,0",278,",,0",172,",,0",,,,,,,,,,,,,,,,,25,",,X",1647,",,X",,,,,,,,,1647,",,X",,,,,,,,,,,,,570,",,X",,,310,",,X",320,",,X",,,,,,,0,",,0",,,80,",,X",94,",,X",,,,,,,1,",,0",,,1,",,0",,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00003813,6/20/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",0,"T,,0,2400",0,",,0",0,",,0",261,",,0",150,",,0",,,,,,,,,,,,,,,,,13,",,X",1549,",,X",,,,,,,,,1450,",,X",,,,,,,,,,,,,785,",,X",,,80,",,X",300,",,X",,,,,,,0,",,0",,,72,",,X",89,",,X",,,,,,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00003813,6/21/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",64,",,0,2400",0,",,0",0,",,0",272,",,0",183,",,0",,,,,,,,,,,,,,,,,29,",,X",1506,",,X",,,,,,,,,1511,",,X",,,,,,,,,,,,,810,",,X",,,340,",,X",350,",,X",,,,,,,0,",,0",,,76,",,X",94,",,X",,,,,,,1,",,0",,,1,",,0",,,,,,,,,1,",,0",,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00003813,6/22/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",0,",,0,2400",0,",,0",0,",,0",300,",,0",172,",,0",,,,,,,,,,,,,,,,,17,",,X",1334,",,X",,,,,,,,,1336,",,X",,,,,,,,,,,,,830,",,X",,,20,",,X",30,",,X",,,,,,,0,",,0",,,49,",,X",63,",,X",,,,,,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00003813,6/23/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",0,",,0,2400",0,",,0",0,",,0",317,",,0",178,",,0",,,,,,,,,,,,,,,,,10,",,X",1645,",,X",,,,,,,,,1642,",,X",,,,,,,,,,,,,845,",,X",,,180,",,X",170,",,X",,,,,,,0,",,0",,,63,",,X",80,",,X",,,,,,,1,",,0",,,,,,,,,,,,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,
USW00003813,6/24/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",13,",,0,2400",0,",,0",0,",,0",328,",,0",200,",,0",,,,,,,,,,,,,,,,,15,",,X",1529,",,X",,,,,,,,,1949,",,X",,,,,,,,,,,,,815,",,X",,,30,",,X",240,",,X",,,,,,,0,",,0",,,58,",,X",67,",,X",,,,,,,1,",,0",,,,,,,,,,,,,1,",,0",,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00003813,6/25/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",0,",,0,2400",0,",,0",0,",,0",311,",,0",194,",,0",,,,,,,,,,,,,,,,,21,",,X",1627,",,X",,,,,,,,,1627,",,X",,,,,,,,,,,,,850,",,X",,,220,",,X",230,",,X",,,,,,,0,",,0",,,72,",,X",80,",,X",,,,,,,1,",,0",,,,,,,,,,,,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,
USW00003813,6/26/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",0,"T,,0,2400",0,",,0",0,",,0",333,",,0",217,",,0",,,,,,,,,,,,,,,,,27,",,X",1745,",,X",,,,,,,,,1615,",,X",,,,,,,,,,,,,815,",,X",,,200,",,X",170,",,X",,,,,,,0,",,0",,,58,",,X",76,",,X",,,,,,,1,",,0",,,,,,,,,,,,,1,",,0",,,,,,,,,,,1,",,0",,,,,,,,,,,,
