STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DAEV,DAEV_ATTRIBUTES,DAWM,DAWM_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,MDEV,MDEV_ATTRIBUTES,MDWM,MDWM_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT10,WT10_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WT22,WT22_ATTRIBUTES,WV01,WV01_ATTRIBUTES,WV03,WV03_ATTRIBUTES,WV07,WV07_ATTRIBUTES,WV20,WV20_ATTRIBUTES
USW00024157,10/6/1995,47.62168,-117.52796,717.7,SPOKANE INTERNATIONAL AIRPORT WA US,0,T02400,0,0,0,0,150,0,61,0,,,,,,,,,,,,,29,X,,,,,,,2139,X,,,,,,,,,1700,X,,,,,,,,,,,,,,,60,X,180,X,,,,,,,0,0,,,49,X,63,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,
USW00024157,10/7/1995,47.62168,-117.52796,717.7,SPOKANE INTERNATIONAL AIRPORT WA US,0,2400,0,0,0,0,139,0,22,0,,,,,,,,,,,,,24,X,,,,,,,2350,X,,,,,,,,,2348,X,,,,,,,,,,,,,,,150,X,150,X,,,,,,,0,0,,,49,X,58,X,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024157,10/8/1995,47.62168,-117.52796,717.7,SPOKANE INTERNATIONAL AIRPORT WA US,0,2400,0,0,0,0,139,0,50,0,,,,,,,,,,,,,60,X,,,,,,,1947,X,,,,,,,,,1947,X,,,,,,,,,,,,,,,200,X,200,X,,,,,,,0,0,,,89,X,107,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024157,10/9/1995,47.62168,-117.52796,717.7,SPOKANE INTERNATIONAL AIRPORT WA US,0,2400,0,0,0,0,133,0,50,0,,,,,,,,,,,,,46,X,,,,,,,1250,X,,,,,,,,,1250,X,,,,,,,,,,,,,,,210,X,220,X,,,,,,,0,0,,,89,X,103,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024157,10/10/1995,47.62168,-117.52796,717.7,SPOKANE INTERNATIONAL AIRPORT WA US,43,2400,0,0,0,0,139,0,94,0,,,,,,,,,,,,,69,X,,,,,,,1110,X,,,,,,,,,1131,X,,,,,,,,,,,,,,,210,X,210,X,,,,,,,0,0,,,130,X,152,X,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,
USW00024157,10/11/1995,47.62168,-117.52796,717.7,SPOKANE INTERNATIONAL AIRPORT WA US,137,2400,0,0,0,0,100,0,44,0,,,,,,,,,,,,,44,X,,,,,,,1442,X,,,,,,,,,1442,X,,,,,,,,,,,,,,,220,X,220,X,,,,,,,0,0,,,94,X,107,X,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,
USW00024157,10/12/1995,47.62168,-117.52796,717.7,SPOKANE INTERNATIONAL AIRPORT WA US,0,2400,0,0,0,0,128,0,28,0,,,,,,,,,,,,,53,X,,,,,,,21,X,,,,,,,,,1242,X,,,,,,,,,,,,,,,220,X,240,X,,,,,,,0,0,,,89,X,103,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024157,10/13/1995,47.62168,-117.52796,717.7,SPOKANE INTERNATIONAL AIRPORT WA US,0,2400,0,0,0,0,133,0,11,0,,,,,,,,,,,,,35,X,,,,,,,1408,X,,,,,,,,,1407,X,,,,,,,,,,,,,,,190,X,190,X,,,,,,,0,0,,,67,X,80,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024157,10/14/1995,47.62168,-117.52796,717.7,SPOKANE INTERNATIONAL AIRPORT WA US,0,2400,0,0,0,0,189,0,11,0,,,,,,,,,,,,,22,X,,,,,,,1307,X,,,,,,,,,1305,X,,,,,,,,,,,,,,,220,X,210,X,,,,,,,0,0,,,58,X,67,X,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024157,10/15/1995,47.62168,-117.52796,717.7,SPOKANE INTERNATIONAL AIRPORT WA US,0,T02400,0,0,0,0,211,0,44,0,,,,,,,,,,,,,44,X,,,,,,,2326,X,,,,,,,,,2356,X,,,,,,,,,,,,,,,220,X,200,X,,,,,,,0,0,,,94,X,134,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,
USW00024157,10/16/1995,47.62168,-117.52796,717.7,SPOKANE INTERNATIONAL AIRPORT WA US,0,T02400,0,0,0,0,167,0,72,0,,,,,,,,,,,,,81,X,,,,,,,1415,X,,,,,,,,,1331,X,,,,,,,,,,,,,,,250,X,240,X,,,,,,,0,0,,,125,X,143,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,
